"","COUNTRY","FLOW","PRODUCT","1971","2000"
"99","Ghana","Imports","Aviation gasoline","44.798800000","223.998000000"
"100","Ghana","Imports","Gasoline type jet fuel","0.000000000","0.000000000"
"101","Ghana","Imports","Kerosene type jet fuel excl. biofuels","892.001900000","1338.000800000"
"102","Ghana","Imports","Other kerosene","43.798100000","0.000000000"
"103","Ghana","Imports","Gas/diesel oil excl. biofuels","0.000000000","17103.500900000"
"104","Ghana","Imports","Fuel oil","0.000000000","0.000000000"
"105","Ghana","Imports","Naphtha","0.000000000","0.000000000"
"106","Ghana","Imports","White spirit & SBP","0.000000000","0.000000000"
"107","Ghana","Imports","Lubricants","755.997900000","1217.998700000"
"108","Ghana","Imports","Bitumen","0.000000000","234.000300000"
"109","Ghana","Imports","Paraffin waxes","0.000000000","0.000000000"
"110","Ghana","Imports","Petroleum coke","0.000000000","0.000000000"
"111","Ghana","Imports","Other oil products","0.000000000","1119.998300000"
"112","Ghana","Imports","Industrial waste","0.000000000","0.000000000"
"113","Ghana","Imports","Municipal waste (renewable)","0.000000000","0.000000000"
"114","Ghana","Imports","Municipal waste (non-renewable)","0.000000000","0.000000000"
"115","Ghana","Imports","Primary solid biofuels","0.000000000","0.000000000"
"116","Ghana","Imports","Biogases","0.000000000","0.000000000"
"117","Ghana","Imports","Biogasoline","0.000000000","0.000000000"
"118","Ghana","Imports","Biodiesels","0.000000000","0.000000000"
"119","Ghana","Imports","Bio jet kerosene","0.000000000","0.000000000"
"120","Ghana","Imports","Other liquid biofuels","0.000000000","0.000000000"
"121","Ghana","Imports","Non-specified primary biofuels and waste","0.000000000","0.000000000"
"122","Ghana","Imports","Charcoal","0.000000000","0.000000000"
"123","Ghana","Imports","Elec/heat output from non-specified manufactured gases","0.000000000","0.000000000"
"124","Ghana","Imports","Heat output from non-specified combustible fuels","0.000000000","0.000000000"
"125","Ghana","Imports","Nuclear","0.000000000","0.000000000"
"126","Ghana","Imports","Hydro","0.000000000","0.000000000"
"127","Ghana","Imports","Geothermal","0.000000000","0.000000000"
"128","Ghana","Imports","Solar photovoltaics","0.000000000","0.000000000"
"129","Ghana","Imports","Solar thermal","0.000000000","0.000000000"
"130","Ghana","Imports","Tide, wave and ocean","0.000000000","0.000000000"
"131","Ghana","Imports","Wind","0.000000000","0.000000000"
"132","Ghana","Imports","Other sources","0.000000000","0.000000000"
"133","Ghana","Imports","Electricity","0.000000000","3110.398800000"
"134","Ghana","Imports","Heat","0.000000000","0.000000000"
"135","Ghana","Imports","Total","40096.397400000","98782.262300000"
"136","Ghana","Imports","Memo: Renewables","0.000000000","0.000000000"
"137","Ghana","Exports","Hard coal (if no detail)","0.000000000","x"
"138","Ghana","Exports","Brown coal (if no detail)","0.000000000","x"
"139","Ghana","Exports","Anthracite","..","0.000000000"
"140","Ghana","Exports","Coking coal","..","0.000000000"
"141","Ghana","Exports","Other bituminous coal","..","0.000000000"
"142","Ghana","Exports","Sub-bituminous coal","..","0.000000000"
"143","Ghana","Exports","Lignite","..","0.000000000"
"144","Ghana","Exports","Patent fuel","0.000000000","0.000000000"
"145","Ghana","Exports","Coke oven coke","0.000000000","0.000000000"
"146","Ghana","Exports","Gas coke","0.000000000","0.000000000"
"147","Ghana","Exports","Coal tar","0.000000000","0.000000000"
"148","Ghana","Exports","BKB","0.000000000","0.000000000"
"149","Ghana","Exports","Gas works gas","0.000000000","0.000000000"
"150","Ghana","Exports","Coke oven gas","0.000000000","0.000000000"
"151","Ghana","Exports","Blast furnace gas","0.000000000","0.000000000"
"152","Ghana","Exports","Other recovered gases","0.000000000","0.000000000"
"153","Ghana","Exports","Peat","0.000000000","0.000000000"
"154","Ghana","Exports","Peat products","0.000000000","0.000000000"
"155","Ghana","Exports","Oil shale and oil sands","0.000000000","0.000000000"
"156","Ghana","Exports","Natural gas","0.000000000","0.000000000"
"157","Ghana","Exports","Crude/NGL/feedstocks (if no detail)","x","x"
"158","Ghana","Exports","Crude oil","0.000000000","0.000000000"
"159","Ghana","Exports","Natural gas liquids","0.000000000","0.000000000"
"160","Ghana","Exports","Refinery feedstocks","0.000000000","0.000000000"
"161","Ghana","Exports","Additives/blending components","0.000000000","0.000000000"
"162","Ghana","Exports","Other hydrocarbons","0.000000000","0.000000000"
"163","Ghana","Exports","Refinery gas","0.000000000","0.000000000"
"164","Ghana","Exports","Ethane","0.000000000","0.000000000"
"165","Ghana","Exports","Liquefied petroleum gases (LPG)","0.000000000","-283.798100000"
"166","Ghana","Exports","Motor gasoline excl. biofuels","-179.199200000","-4345.601100000"
"167","Ghana","Exports","Aviation gasoline","0.000000000","0.000000000"
"168","Ghana","Exports","Gasoline type jet fuel","0.000000000","0.000000000"
"169","Ghana","Exports","Kerosene type jet fuel excl. biofuels","0.000000000","0.000000000"
"170","Ghana","Exports","Other kerosene","-175.200800000","0.000000000"
"171","Ghana","Exports","Gas/diesel oil excl. biofuels","0.000000000","-43.299900000"
"172","Ghana","Exports","Fuel oil","-7437.000300000","-7678.201800000"
"173","Ghana","Exports","Naphtha","0.000000000","0.000000000"
"174","Ghana","Exports","White spirit & SBP","0.000000000","0.000000000"
"175","Ghana","Exports","Lubricants","0.000000000","0.000000000"
"176","Ghana","Exports","Bitumen","0.000000000","0.000000000"
"177","Ghana","Exports","Paraffin waxes","0.000000000","0.000000000"
"178","Ghana","Exports","Petroleum coke","0.000000000","0.000000000"
"179","Ghana","Exports","Other oil products","0.000000000","0.000000000"
"180","Ghana","Exports","Industrial waste","0.000000000","0.000000000"
"181","Ghana","Exports","Municipal waste (renewable)","0.000000000","0.000000000"
"182","Ghana","Exports","Municipal waste (non-renewable)","0.000000000","0.000000000"
"183","Ghana","Exports","Primary solid biofuels","0.000000000","0.000000000"
"184","Ghana","Exports","Biogases","0.000000000","0.000000000"
"185","Ghana","Exports","Biogasoline","0.000000000","0.000000000"
"186","Ghana","Exports","Biodiesels","0.000000000","0.000000000"
"187","Ghana","Exports","Bio jet kerosene","0.000000000","0.000000000"
"188","Ghana","Exports","Other liquid biofuels","0.000000000","0.000000000"
"189","Ghana","Exports","Non-specified primary biofuels and waste","0.000000000","0.000000000"
"190","Ghana","Exports","Charcoal","0.000000000","-92.398500000"
"191","Ghana","Exports","Elec/heat output from non-specified manufactured gases","0.000000000","0.000000000"
"192","Ghana","Exports","Heat output from non-specified combustible fuels","0.000000000","0.000000000"
"193","Ghana","Exports","Nuclear","0.000000000","0.000000000"
"194","Ghana","Exports","Hydro","0.000000000","0.000000000"
"195","Ghana","Exports","Geothermal","0.000000000","0.000000000"
"196","Ghana","Exports","Solar photovoltaics","0.000000000","0.000000000"
"197","Ghana","Exports","Solar thermal","0.000000000","0.000000000"
"198","Ghana","Exports","Tide, wave and ocean","0.000000000","0.000000000"
"199","Ghana","Exports","Wind","0.000000000","0.000000000"
"200","Ghana","Exports","Other sources","0.000000000","0.000000000"
"201","Ghana","Exports","Electricity","0.000000000","-1411.198600000"
"202","Ghana","Exports","Heat","0.000000000","0.000000000"
"203","Ghana","Exports","Total","-7791.400300000","-13854.498000000"
"204","Ghana","Exports","Memo: Renewables","0.000000000","-92.398500000"
"205","Ghana","International marine bunkers","Hard coal (if no detail)","0.000000000","x"
"206","Ghana","International marine bunkers","Brown coal (if no detail)","0.000000000","x"
"207","Ghana","International marine bunkers","Anthracite","..","0.000000000"
"208","Ghana","International marine bunkers","Coking coal","..","0.000000000"
"209","Ghana","International marine bunkers","Other bituminous coal","..","0.000000000"
"210","Ghana","International marine bunkers","Sub-bituminous coal","..","0.000000000"
