,,TIME,1971,2000
Ghana,World marine bunkers,Refinery feedstocks,x,x
Ghana,World marine bunkers,Additives/blending components,x,x
Ghana,World marine bunkers,Other hydrocarbons,x,x
Ghana,World marine bunkers,Refinery gas,x,x
Ghana,World marine bunkers,Ethane,x,x
Ghana,World marine bunkers,Liquefied petroleum gases (LPG),x,x
Ghana,World marine bunkers,Motor gasoline excl. biofuels,x,x
Ghana,World marine bunkers,Aviation gasoline,x,x
Ghana,World marine bunkers,Gasoline type jet fuel,x,x
Ghana,World marine bunkers,Kerosene type jet fuel excl. biofuels,x,x
Ghana,World marine bunkers,Other kerosene,x,x
Ghana,World marine bunkers,Gas/diesel oil excl. biofuels,x,x
Ghana,World marine bunkers,Fuel oil,x,x
Ghana,World marine bunkers,Naphtha,x,x
Ghana,World marine bunkers,White spirit & SBP,x,x
Ghana,World marine bunkers,Lubricants,x,x
Ghana,World marine bunkers,Bitumen,x,x
Ghana,World marine bunkers,Paraffin waxes,x,x
Ghana,World marine bunkers,Petroleum coke,x,x
Ghana,World marine bunkers,Other oil products,x,x
Ghana,World marine bunkers,Industrial waste,x,x
Ghana,World marine bunkers,Municipal waste (renewable),x,x
Ghana,World marine bunkers,Municipal waste (non-renewable),x,x
Ghana,World marine bunkers,Primary solid biofuels,x,x
Ghana,World marine bunkers,Biogases,x,x
Ghana,World marine bunkers,Biogasoline,x,x
Ghana,World marine bunkers,Biodiesels,x,x
Ghana,World marine bunkers,Bio jet kerosene,x,x
Ghana,World marine bunkers,Other liquid biofuels,x,x
Ghana,World marine bunkers,Non-specified primary biofuels and waste,x,x
Ghana,World marine bunkers,Charcoal,x,x
Ghana,World marine bunkers,Elec/heat output from non-specified manufactured gases,x,x
Ghana,World marine bunkers,Heat output from non-specified combustible fuels,x,x
Ghana,World marine bunkers,Nuclear,x,x
Ghana,World marine bunkers,Hydro,x,x
Ghana,World marine bunkers,Geothermal,x,x
Ghana,World marine bunkers,Solar photovoltaics,x,x
Ghana,World marine bunkers,Solar thermal,x,x
Ghana,World marine bunkers,"Tide, wave and ocean",x,x
Ghana,World marine bunkers,Wind,x,x
Ghana,World marine bunkers,Other sources,x,x
Ghana,World marine bunkers,Electricity,x,x
Ghana,World marine bunkers,Heat,x,x
Ghana,World marine bunkers,Total,x,x
Ghana,World marine bunkers,Memo: Renewables,x,x
Ghana,Domestic navigation,Hard coal (if no detail),0,x
Ghana,Domestic navigation,Brown coal (if no detail),0,x
Ghana,Domestic navigation,Anthracite,..,0
Ghana,Domestic navigation,Coking coal,..,0
Ghana,Domestic navigation,Other bituminous coal,..,0
Ghana,Domestic navigation,Sub-bituminous coal,..,0
Ghana,Domestic navigation,Lignite,..,0
Ghana,Domestic navigation,Patent fuel,0,0
Ghana,Domestic navigation,Coke oven coke,0,0
Ghana,Domestic navigation,Gas coke,0,0
Ghana,Domestic navigation,Coal tar,0,0
Ghana,Domestic navigation,BKB,0,0
Ghana,Domestic navigation,Gas works gas,0,0
Ghana,Domestic navigation,Coke oven gas,0,0
Ghana,Domestic navigation,Blast furnace gas,0,0
Ghana,Domestic navigation,Other recovered gases,0,0
Ghana,Domestic navigation,Peat,0,0
Ghana,Domestic navigation,Peat products,0,0
Ghana,Domestic navigation,Oil shale and oil sands,0,0
Ghana,Domestic navigation,Natural gas,0,0
Ghana,Domestic navigation,Crude/NGL/feedstocks (if no detail),x,x
Ghana,Domestic navigation,Crude oil,0,0
Ghana,Domestic navigation,Natural gas liquids,0,0
Ghana,Domestic navigation,Refinery feedstocks,0,0
Ghana,Domestic navigation,Additives/blending components,0,0
Ghana,Domestic navigation,Other hydrocarbons,0,0
Ghana,Domestic navigation,Refinery gas,0,0
Ghana,Domestic navigation,Ethane,0,0
Ghana,Domestic navigation,Liquefied petroleum gases (LPG),0,0
Ghana,Domestic navigation,Motor gasoline excl. biofuels,0,0
Ghana,Domestic navigation,Aviation gasoline,0,0
Ghana,Domestic navigation,Gasoline type jet fuel,0,0
Ghana,Domestic navigation,Kerosene type jet fuel excl. biofuels,0,0
Ghana,Domestic navigation,Other kerosene,0,0
Ghana,Domestic navigation,Gas/diesel oil excl. biofuels,10,30
Ghana,Domestic navigation,Fuel oil,2,0
Ghana,Domestic navigation,Naphtha,0,0
Ghana,Domestic navigation,White spirit & SBP,0,0
Ghana,Domestic navigation,Lubricants,0,0
Ghana,Domestic navigation,Bitumen,0,0
Ghana,Domestic navigation,Paraffin waxes,0,0
Ghana,Domestic navigation,Petroleum coke,0,0
Ghana,Domestic navigation,Other oil products,0,0
Ghana,Domestic navigation,Industrial waste,0,0
Ghana,Domestic navigation,Municipal waste (renewable),0,0
Ghana,Domestic navigation,Municipal waste (non-renewable),0,0
Ghana,Domestic navigation,Primary solid biofuels,0,0
Ghana,Domestic navigation,Biogases,0,0
Ghana,Domestic navigation,Biogasoline,0,0
Ghana,Domestic navigation,Biodiesels,0,0
Ghana,Domestic navigation,Bio jet kerosene,0,0
Ghana,Domestic navigation,Other liquid biofuels,0,0
Ghana,Domestic navigation,Non-specified primary biofuels and waste,0,0
Ghana,Domestic navigation,Charcoal,0,0
Ghana,Domestic navigation,Elec/heat output from non-specified manufactured gases,0,0
Ghana,Domestic navigation,Heat output from non-specified combustible fuels,0,0
Ghana,Domestic navigation,Nuclear,0,0
Ghana,Domestic navigation,Hydro,0,0
Ghana,Domestic navigation,Geothermal,0,0
Ghana,Domestic navigation,Solar photovoltaics,0,0
Ghana,Domestic navigation,Solar thermal,0,0
Ghana,Domestic navigation,"Tide, wave and ocean",0,0
Ghana,Domestic navigation,Wind,0,0
Ghana,Domestic navigation,Other sources,0,0
Ghana,Domestic navigation,Electricity,0,0
Ghana,Domestic navigation,Heat,0,0
Ghana,Domestic navigation,Total,12,30
Ghana,Domestic navigation,Memo: Renewables,0,0
Ghana,Non-specified (transport),Hard coal (if no detail),0,x
Ghana,Non-specified (transport),Brown coal (if no detail),0,x
Ghana,Non-specified (transport),Anthracite,..,0
Ghana,Non-specified (transport),Coking coal,..,0
Ghana,Non-specified (transport),Other bituminous coal,..,0
Ghana,Non-specified (transport),Sub-bituminous coal,..,0
Ghana,Non-specified (transport),Lignite,..,0
Ghana,Non-specified (transport),Patent fuel,0,0
Ghana,Non-specified (transport),Coke oven coke,0,0
Ghana,Non-specified (transport),Gas coke,0,0
Ghana,Non-specified (transport),Coal tar,0,0
Ghana,Non-specified (transport),BKB,0,0
Ghana,Non-specified (transport),Gas works gas,0,0
Ghana,Non-specified (transport),Coke oven gas,0,0
Ghana,Non-specified (transport),Blast furnace gas,0,0
Ghana,Non-specified (transport),Other recovered gases,0,0
Ghana,Non-specified (transport),Peat,0,0
Ghana,Non-specified (transport),Peat products,0,0
Ghana,Non-specified (transport),Oil shale and oil sands,0,0
Ghana,Non-specified (transport),Natural gas,0,0
Ghana,Non-specified (transport),Crude/NGL/feedstocks (if no detail),x,x
Ghana,Non-specified (transport),Crude oil,0,0
Ghana,Non-specified (transport),Natural gas liquids,0,0
Ghana,Non-specified (transport),Refinery feedstocks,0,0
Ghana,Non-specified (transport),Additives/blending components,0,0
Ghana,Non-specified (transport),Other hydrocarbons,0,0
Ghana,Non-specified (transport),Refinery gas,0,0
Ghana,Non-specified (transport),Ethane,0,0
Ghana,Non-specified (transport),Liquefied petroleum gases (LPG),0,0
Ghana,Non-specified (transport),Motor gasoline excl. biofuels,0,0
Ghana,Non-specified (transport),Aviation gasoline,0,0
Ghana,Non-specified (transport),Gasoline type jet fuel,0,0
Ghana,Non-specified (transport),Kerosene type jet fuel excl. biofuels,0,0
Ghana,Non-specified (transport),Other kerosene,0,0
Ghana,Non-specified (transport),Gas/diesel oil excl. biofuels,0,0
Ghana,Non-specified (transport),Fuel oil,0,0
Ghana,Non-specified (transport),Naphtha,0,0
Ghana,Non-specified (transport),White spirit & SBP,0,0
Ghana,Non-specified (transport),Lubricants,0,0
Ghana,Non-specified (transport),Bitumen,0,0
Ghana,Non-specified (transport),Paraffin waxes,0,0
Ghana,Non-specified (transport),Petroleum coke,0,0
Ghana,Non-specified (transport),Other oil products,0,0
Ghana,Non-specified (transport),Industrial waste,0,0
Ghana,Non-specified (transport),Municipal waste (renewable),0,0
Ghana,Non-specified (transport),Municipal waste (non-renewable),0,0
Ghana,Non-specified (transport),Primary solid biofuels,0,0
Ghana,Non-specified (transport),Biogases,0,0
Ghana,Non-specified (transport),Biogasoline,0,0
Ghana,Non-specified (transport),Biodiesels,0,0
Ghana,Non-specified (transport),Bio jet kerosene,0,0
Ghana,Non-specified (transport),Other liquid biofuels,0,0
Ghana,Non-specified (transport),Non-specified primary biofuels and waste,0,0
Ghana,Non-specified (transport),Charcoal,0,0
Ghana,Non-specified (transport),Elec/heat output from non-specified manufactured gases,0,0
Ghana,Non-specified (transport),Heat output from non-specified combustible fuels,0,0
Ghana,Non-specified (transport),Nuclear,0,0
Ghana,Non-specified (transport),Hydro,0,0
Ghana,Non-specified (transport),Geothermal,0,0
Ghana,Non-specified (transport),Solar photovoltaics,0,0
Ghana,Non-specified (transport),Solar thermal,0,0
Ghana,Non-specified (transport),"Tide, wave and ocean",0,0
Ghana,Non-specified (transport),Wind,0,0
Ghana,Non-specified (transport),Other sources,0,0
Ghana,Non-specified (transport),Electricity,0,0
Ghana,Non-specified (transport),Heat,0,0
Ghana,Non-specified (transport),Total,0,0
Ghana,Non-specified (transport),Memo: Renewables,0,0
Ghana,Other,Hard coal (if no detail),0,x
Ghana,Other,Brown coal (if no detail),0,x
Ghana,Other,Anthracite,..,0
Ghana,Other,Coking coal,..,0
Ghana,Other,Other bituminous coal,..,0
Ghana,Other,Sub-bituminous coal,..,0
Ghana,Other,Lignite,..,0
Ghana,Other,Patent fuel,0,0
Ghana,Other,Coke oven coke,0,0
Ghana,Other,Gas coke,0,0
Ghana,Other,Coal tar,0,0
Ghana,Other,BKB,0,0
Ghana,Other,Gas works gas,0,0
Ghana,Other,Coke oven gas,0,0
Ghana,Other,Blast furnace gas,0,0
Ghana,Other,Other recovered gases,0,0
Ghana,Other,Peat,0,0
Ghana,Other,Peat products,0,0
Ghana,Other,Oil shale and oil sands,0,0
Ghana,Other,Natural gas,0,0
Ghana,Other,Crude/NGL/feedstocks (if no detail),x,x
Ghana,Other,Crude oil,0,0
Ghana,Other,Natural gas liquids,0,0
Ghana,Other,Refinery feedstocks,0,0
Ghana,Other,Additives/blending components,0,0
Ghana,Other,Other hydrocarbons,0,0
Ghana,Other,Refinery gas,0,0
Ghana,Other,Ethane,0,0
Ghana,Other,Liquefied petroleum gases (LPG),3,41
Ghana,Other,Motor gasoline excl. biofuels,0,33
Ghana,Other,Aviation gasoline,0,0
Ghana,Other,Gasoline type jet fuel,0,0
Ghana,Other,Kerosene type jet fuel excl. biofuels,0,0
Ghana,Other,Other kerosene,84,53
Ghana,Other,Gas/diesel oil excl. biofuels,39,141
Ghana,Other,Fuel oil,0,0
Ghana,Other,Naphtha,0,0
Ghana,Other,White spirit & SBP,0,0
Ghana,Other,Lubricants,0,0
Ghana,Other,Bitumen,0,0
Ghana,Other,Paraffin waxes,0,0
Ghana,Other,Petroleum coke,0,0
Ghana,Other,Other oil products,0,0
Ghana,Other,Industrial waste,0,0
Ghana,Other,Municipal waste (renewable),0,0
Ghana,Other,Municipal waste (non-renewable),0,0
Ghana,Other,Primary solid biofuels,1464,2112
Ghana,Other,Biogases,0,0
Ghana,Other,Biogasoline,0,0
Ghana,Other,Biodiesels,0,0
Ghana,Other,Bio jet kerosene,0,0
Ghana,Other,Other liquid biofuels,0,0
Ghana,Other,Non-specified primary biofuels and waste,0,0
Ghana,Other,Charcoal,119,516
Ghana,Other,Elec/heat output from non-specified manufactured gases,0,0
Ghana,Other,Heat output from non-specified combustible fuels,0,0
Ghana,Other,Nuclear,0,0
Ghana,Other,Hydro,0,0
Ghana,Other,Geothermal,0,0
Ghana,Other,Solar photovoltaics,0,0
Ghana,Other,Solar thermal,0,0
Ghana,Other,"Tide, wave and ocean",0,0
Ghana,Other,Wind,0,0
Ghana,Other,Other sources,0,0
Ghana,Other,Electricity,25,177
Ghana,Other,Heat,0,0
Ghana,Other,Total,1735,3072
Ghana,Other,Memo: Renewables,1583,2627
Ghana,Residential,Hard coal (if no detail),0,x
Ghana,Residential,Brown coal (if no detail),0,x
Ghana,Residential,Anthracite,..,0
Ghana,Residential,Coking coal,..,0
Ghana,Residential,Other bituminous coal,..,0
Ghana,Residential,Sub-bituminous coal,..,0
Ghana,Residential,Lignite,..,0
Ghana,Residential,Patent fuel,0,0
Ghana,Residential,Coke oven coke,0,0
Ghana,Residential,Gas coke,0,0
Ghana,Residential,Coal tar,0,0
Ghana,Residential,BKB,0,0
Ghana,Residential,Gas works gas,0,0
Ghana,Residential,Coke oven gas,0,0
Ghana,Residential,Blast furnace gas,0,0
Ghana,Residential,Other recovered gases,0,0
Ghana,Residential,Peat,0,0
Ghana,Residential,Peat products,0,0
Ghana,Residential,Oil shale and oil sands,0,0
Ghana,Residential,Natural gas,0,0
Ghana,Residential,Crude/NGL/feedstocks (if no detail),x,x
Ghana,Residential,Crude oil,0,0
Ghana,Residential,Natural gas liquids,0,0
Ghana,Residential,Refinery feedstocks,0,0
Ghana,Residential,Additives/blending components,0,0
Ghana,Residential,Other hydrocarbons,0,0
Ghana,Residential,Refinery gas,0,0
Ghana,Residential,Ethane,0,0
Ghana,Residential,Liquefied petroleum gases (LPG),3,36
Ghana,Residential,Motor gasoline excl. biofuels,0,0
Ghana,Residential,Aviation gasoline,0,0
Ghana,Residential,Gasoline type jet fuel,0,0
Ghana,Residential,Kerosene type jet fuel excl. biofuels,0,0
Ghana,Residential,Other kerosene,84,53
Ghana,Residential,Gas/diesel oil excl. biofuels,0,0
Ghana,Residential,Fuel oil,0,0
Ghana,Residential,Naphtha,0,0
Ghana,Residential,White spirit & SBP,0,0
Ghana,Residential,Lubricants,0,0
Ghana,Residential,Bitumen,0,0
Ghana,Residential,Paraffin waxes,0,0
Ghana,Residential,Petroleum coke,0,0
Ghana,Residential,Other oil products,0,0
Ghana,Residential,Industrial waste,0,0
Ghana,Residential,Municipal waste (renewable),0,0
Ghana,Residential,Municipal waste (non-renewable),0,0
Ghana,Residential,Primary solid biofuels,1464,2022
Ghana,Residential,Biogases,0,0
Ghana,Residential,Biogasoline,0,0
Ghana,Residential,Biodiesels,0,0
Ghana,Residential,Bio jet kerosene,0,0
Ghana,Residential,Other liquid biofuels,0,0
Ghana,Residential,Non-specified primary biofuels and waste,0,0
Ghana,Residential,Charcoal,119,516
Ghana,Residential,Elec/heat output from non-specified manufactured gases,0,0
Ghana,Residential,Heat output from non-specified combustible fuels,0,0
Ghana,Residential,Nuclear,0,0
Ghana,Residential,Hydro,0,0
Ghana,Residential,Geothermal,0,0
Ghana,Residential,Solar photovoltaics,0,0
Ghana,Residential,Solar thermal,0,0
Ghana,Residential,"Tide, wave and ocean",0,0
Ghana,Residential,Wind,0,0
Ghana,Residential,Other sources,0,0
Ghana,Residential,Electricity,14,127
Ghana,Residential,Heat,0,0
Ghana,Residential,Total,1684,2755
Ghana,Residential,Memo: Renewables,1583,2538
Ghana,Commercial and public services,Hard coal (if no detail),0,x
Ghana,Commercial and public services,Brown coal (if no detail),0,x
Ghana,Commercial and public services,Anthracite,..,0
Ghana,Commercial and public services,Coking coal,..,0
Ghana,Commercial and public services,Other bituminous coal,..,0
Ghana,Commercial and public services,Sub-bituminous coal,..,0
Ghana,Commercial and public services,Lignite,..,0
Ghana,Commercial and public services,Patent fuel,0,0
Ghana,Commercial and public services,Coke oven coke,0,0
Ghana,Commercial and public services,Gas coke,0,0
Ghana,Commercial and public services,Coal tar,0,0
Ghana,Commercial and public services,BKB,0,0
Ghana,Commercial and public services,Gas works gas,0,0
Ghana,Commercial and public services,Coke oven gas,0,0
Ghana,Commercial and public services,Blast furnace gas,0,0
Ghana,Commercial and public services,Other recovered gases,0,0
Ghana,Commercial and public services,Peat,0,0
Ghana,Commercial and public services,Peat products,0,0
Ghana,Commercial and public services,Oil shale and oil sands,0,0
Ghana,Commercial and public services,Natural gas,0,0
Ghana,Commercial and public services,Crude/NGL/feedstocks (if no detail),x,x
Ghana,Commercial and public services,Crude oil,0,0
Ghana,Commercial and public services,Natural gas liquids,0,0
Ghana,Commercial and public services,Refinery feedstocks,0,0
Ghana,Commercial and public services,Additives/blending components,0,0
Ghana,Commercial and public services,Other hydrocarbons,0,0
Ghana,Commercial and public services,Refinery gas,0,0
Ghana,Commercial and public services,Ethane,0,0
Ghana,Commercial and public services,Liquefied petroleum gases (LPG),0,5
Ghana,Commercial and public services,Motor gasoline excl. biofuels,0,0
Ghana,Commercial and public services,Aviation gasoline,0,0
Ghana,Commercial and public services,Gasoline type jet fuel,0,0
Ghana,Commercial and public services,Kerosene type jet fuel excl. biofuels,0,0
Ghana,Commercial and public services,Other kerosene,0,0
Ghana,Commercial and public services,Gas/diesel oil excl. biofuels,9,0
Ghana,Commercial and public services,Fuel oil,0,0
Ghana,Commercial and public services,Naphtha,0,0
Ghana,Commercial and public services,White spirit & SBP,0,0
Ghana,Commercial and public services,Lubricants,0,0
Ghana,Commercial and public services,Bitumen,0,0
Ghana,Commercial and public services,Paraffin waxes,0,0
Ghana,Commercial and public services,Petroleum coke,0,0
Ghana,Commercial and public services,Other oil products,0,0
Ghana,Commercial and public services,Industrial waste,0,0
Ghana,Commercial and public services,Municipal waste (renewable),0,0
Ghana,Commercial and public services,Municipal waste (non-renewable),0,0
Ghana,Commercial and public services,Primary solid biofuels,0,87
Ghana,Commercial and public services,Biogases,0,0
Ghana,Commercial and public services,Biogasoline,0,0
Ghana,Commercial and public services,Biodiesels,0,0
Ghana,Commercial and public services,Bio jet kerosene,0,0
Ghana,Commercial and public services,Other liquid biofuels,0,0
Ghana,Commercial and public services,Non-specified primary biofuels and waste,0,0
Ghana,Commercial and public services,Charcoal,0,0
Ghana,Commercial and public services,Elec/heat output from non-specified manufactured gases,0,0
Ghana,Commercial and public services,Heat output from non-specified combustible fuels,0,0
Ghana,Commercial and public services,Nuclear,0,0
Ghana,Commercial and public services,Hydro,0,0
Ghana,Commercial and public services,Geothermal,0,0
Ghana,Commercial and public services,Solar photovoltaics,0,0
Ghana,Commercial and public services,Solar thermal,0,0
Ghana,Commercial and public services,"Tide, wave and ocean",0,0
Ghana,Commercial and public services,Wind,0,0
Ghana,Commercial and public services,Other sources,0,0
Ghana,Commercial and public services,Electricity,9,50
Ghana,Commercial and public services,Heat,0,0
Ghana,Commercial and public services,Total,18,141
Ghana,Commercial and public services,Memo: Renewables,0,87
Ghana,Agriculture/forestry,Hard coal (if no detail),0,x
Ghana,Agriculture/forestry,Brown coal (if no detail),0,x
Ghana,Agriculture/forestry,Anthracite,..,0
Ghana,Agriculture/forestry,Coking coal,..,0
Ghana,Agriculture/forestry,Other bituminous coal,..,0
Ghana,Agriculture/forestry,Sub-bituminous coal,..,0
Ghana,Agriculture/forestry,Lignite,..,0
Ghana,Agriculture/forestry,Patent fuel,0,0
Ghana,Agriculture/forestry,Coke oven coke,0,0
Ghana,Agriculture/forestry,Gas coke,0,0
Ghana,Agriculture/forestry,Coal tar,0,0
Ghana,Agriculture/forestry,BKB,0,0
Ghana,Agriculture/forestry,Gas works gas,0,0
Ghana,Agriculture/forestry,Coke oven gas,0,0
Ghana,Agriculture/forestry,Blast furnace gas,0,0
Ghana,Agriculture/forestry,Other recovered gases,0,0
Ghana,Agriculture/forestry,Peat,0,0
Ghana,Agriculture/forestry,Peat products,0,0
Ghana,Agriculture/forestry,Oil shale and oil sands,0,0
Ghana,Agriculture/forestry,Natural gas,0,0
Ghana,Agriculture/forestry,Crude/NGL/feedstocks (if no detail),x,x
Ghana,Agriculture/forestry,Crude oil,0,0
Ghana,Agriculture/forestry,Natural gas liquids,0,0
Ghana,Agriculture/forestry,Refinery feedstocks,0,0
Ghana,Agriculture/forestry,Additives/blending components,0,0
Ghana,Agriculture/forestry,Other hydrocarbons,0,0
Ghana,Agriculture/forestry,Refinery gas,0,0
Ghana,Agriculture/forestry,Ethane,0,0
Ghana,Agriculture/forestry,Liquefied petroleum gases (LPG),0,0
Ghana,Agriculture/forestry,Motor gasoline excl. biofuels,0,0
Ghana,Agriculture/forestry,Aviation gasoline,0,0
Ghana,Agriculture/forestry,Gasoline type jet fuel,0,0
Ghana,Agriculture/forestry,Kerosene type jet fuel excl. biofuels,0,0
Ghana,Agriculture/forestry,Other kerosene,0,0
Ghana,Agriculture/forestry,Gas/diesel oil excl. biofuels,30,141
Ghana,Agriculture/forestry,Fuel oil,0,0
Ghana,Agriculture/forestry,Naphtha,0,0
Ghana,Agriculture/forestry,White spirit & SBP,0,0
Ghana,Agriculture/forestry,Lubricants,0,0
Ghana,Agriculture/forestry,Bitumen,0,0
Ghana,Agriculture/forestry,Paraffin waxes,0,0
Ghana,Agriculture/forestry,Petroleum coke,0,0
Ghana,Agriculture/forestry,Other oil products,0,0
Ghana,Agriculture/forestry,Industrial waste,0,0
Ghana,Agriculture/forestry,Municipal waste (renewable),0,0
Ghana,Agriculture/forestry,Municipal waste (non-renewable),0,0
Ghana,Agriculture/forestry,Primary solid biofuels,0,3
Ghana,Agriculture/forestry,Biogases,0,0
Ghana,Agriculture/forestry,Biogasoline,0,0
Ghana,Agriculture/forestry,Biodiesels,0,0
Ghana,Agriculture/forestry,Bio jet kerosene,0,0
Ghana,Agriculture/forestry,Other liquid biofuels,0,0
Ghana,Agriculture/forestry,Non-specified primary biofuels and waste,0,0
Ghana,Agriculture/forestry,Charcoal,0,0
Ghana,Agriculture/forestry,Elec/heat output from non-specified manufactured gases,0,0
Ghana,Agriculture/forestry,Heat output from non-specified combustible fuels,0,0
Ghana,Agriculture/forestry,Nuclear,0,0
Ghana,Agriculture/forestry,Hydro,0,0
Ghana,Agriculture/forestry,Geothermal,0,0
Ghana,Agriculture/forestry,Solar photovoltaics,0,0
Ghana,Agriculture/forestry,Solar thermal,0,0
Ghana,Agriculture/forestry,"Tide, wave and ocean",0,0
Ghana,Agriculture/forestry,Wind,0,0
Ghana,Agriculture/forestry,Other sources,0,0
Ghana,Agriculture/forestry,Electricity,2,0
Ghana,Agriculture/forestry,Heat,0,0
Ghana,Agriculture/forestry,Total,32,143
Ghana,Agriculture/forestry,Memo: Renewables,0,3
Ghana,Fishing,Hard coal (if no detail),0,x
Ghana,Fishing,Brown coal (if no detail),0,x
Ghana,Fishing,Anthracite,..,0
Ghana,Fishing,Coking coal,..,0
Ghana,Fishing,Other bituminous coal,..,0
Ghana,Fishing,Sub-bituminous coal,..,0
Ghana,Fishing,Lignite,..,0
Ghana,Fishing,Patent fuel,0,0
Ghana,Fishing,Coke oven coke,0,0
Ghana,Fishing,Gas coke,0,0
Ghana,Fishing,Coal tar,0,0
Ghana,Fishing,BKB,0,0
Ghana,Fishing,Gas works gas,0,0
Ghana,Fishing,Coke oven gas,0,0
Ghana,Fishing,Blast furnace gas,0,0
Ghana,Fishing,Other recovered gases,0,0
Ghana,Fishing,Peat,0,0
Ghana,Fishing,Peat products,0,0
Ghana,Fishing,Oil shale and oil sands,0,0
Ghana,Fishing,Natural gas,0,0
Ghana,Fishing,Crude/NGL/feedstocks (if no detail),x,x
Ghana,Fishing,Crude oil,0,0
Ghana,Fishing,Natural gas liquids,0,0
Ghana,Fishing,Refinery feedstocks,0,0
Ghana,Fishing,Additives/blending components,0,0
Ghana,Fishing,Other hydrocarbons,0,0
Ghana,Fishing,Refinery gas,0,0
Ghana,Fishing,Ethane,0,0
Ghana,Fishing,Liquefied petroleum gases (LPG),0,0
Ghana,Fishing,Motor gasoline excl. biofuels,0,33
Ghana,Fishing,Aviation gasoline,0,0
Ghana,Fishing,Gasoline type jet fuel,0,0
Ghana,Fishing,Kerosene type jet fuel excl. biofuels,0,0
Ghana,Fishing,Other kerosene,0,0
Ghana,Fishing,Gas/diesel oil excl. biofuels,0,0
Ghana,Fishing,Fuel oil,0,0
Ghana,Fishing,Naphtha,0,0
Ghana,Fishing,White spirit & SBP,0,0
Ghana,Fishing,Lubricants,0,0
Ghana,Fishing,Bitumen,0,0
Ghana,Fishing,Paraffin waxes,0,0
Ghana,Fishing,Petroleum coke,0,0
Ghana,Fishing,Other oil products,0,0
Ghana,Fishing,Industrial waste,0,0
Ghana,Fishing,Municipal waste (renewable),0,0
Ghana,Fishing,Municipal waste (non-renewable),0,0
Ghana,Fishing,Primary solid biofuels,0,0
Ghana,Fishing,Biogases,0,0
Ghana,Fishing,Biogasoline,0,0
Ghana,Fishing,Biodiesels,0,0
Ghana,Fishing,Bio jet kerosene,0,0
Ghana,Fishing,Other liquid biofuels,0,0
Ghana,Fishing,Non-specified primary biofuels and waste,0,0
Ghana,Fishing,Charcoal,0,0
Ghana,Fishing,Elec/heat output from non-specified manufactured gases,0,0
Ghana,Fishing,Heat output from non-specified combustible fuels,0,0
Ghana,Fishing,Nuclear,0,0
Ghana,Fishing,Hydro,0,0
Ghana,Fishing,Geothermal,0,0
Ghana,Fishing,Solar photovoltaics,0,0
Ghana,Fishing,Solar thermal,0,0
Ghana,Fishing,"Tide, wave and ocean",0,0
Ghana,Fishing,Wind,0,0
Ghana,Fishing,Other sources,0,0
Ghana,Fishing,Electricity,0,0
Ghana,Fishing,Heat,0,0
Ghana,Fishing,Total,0,33
Ghana,Fishing,Memo: Renewables,0,0
Ghana,Non-specified (other),Hard coal (if no detail),0,x
Ghana,Non-specified (other),Brown coal (if no detail),0,x
Ghana,Non-specified (other),Anthracite,..,0
Ghana,Non-specified (other),Coking coal,..,0
Ghana,Non-specified (other),Other bituminous coal,..,0
Ghana,Non-specified (other),Sub-bituminous coal,..,0
Ghana,Non-specified (other),Lignite,..,0
Ghana,Non-specified (other),Patent fuel,0,0
Ghana,Non-specified (other),Coke oven coke,0,0
Ghana,Non-specified (other),Gas coke,0,0
Ghana,Non-specified (other),Coal tar,0,0
Ghana,Non-specified (other),BKB,0,0
Ghana,Non-specified (other),Gas works gas,0,0
Ghana,Non-specified (other),Coke oven gas,0,0
Ghana,Non-specified (other),Blast furnace gas,0,0
Ghana,Non-specified (other),Other recovered gases,0,0
Ghana,Non-specified (other),Peat,0,0
Ghana,Non-specified (other),Peat products,0,0
Ghana,Non-specified (other),Oil shale and oil sands,0,0
Ghana,Non-specified (other),Natural gas,0,0
Ghana,Non-specified (other),Crude/NGL/feedstocks (if no detail),x,x
Ghana,Non-specified (other),Crude oil,0,0
Ghana,Non-specified (other),Natural gas liquids,0,0
Ghana,Non-specified (other),Refinery feedstocks,0,0
Ghana,Non-specified (other),Additives/blending components,0,0
Ghana,Non-specified (other),Other hydrocarbons,0,0
Ghana,Non-specified (other),Refinery gas,0,0
Ghana,Non-specified (other),Ethane,0,0
Ghana,Non-specified (other),Liquefied petroleum gases (LPG),0,0
Ghana,Non-specified (other),Motor gasoline excl. biofuels,0,0
Ghana,Non-specified (other),Aviation gasoline,0,0
Ghana,Non-specified (other),Gasoline type jet fuel,0,0
Ghana,Non-specified (other),Kerosene type jet fuel excl. biofuels,0,0
Ghana,Non-specified (other),Other kerosene,0,0
Ghana,Non-specified (other),Gas/diesel oil excl. biofuels,0,0
Ghana,Non-specified (other),Fuel oil,0,0
Ghana,Non-specified (other),Naphtha,0,0
Ghana,Non-specified (other),White spirit & SBP,0,0
Ghana,Non-specified (other),Lubricants,0,0
Ghana,Non-specified (other),Bitumen,0,0
Ghana,Non-specified (other),Paraffin waxes,0,0
Ghana,Non-specified (other),Petroleum coke,0,0
Ghana,Non-specified (other),Other oil products,0,0
Ghana,Non-specified (other),Industrial waste,0,0
Ghana,Non-specified (other),Municipal waste (renewable),0,0
Ghana,Non-specified (other),Municipal waste (non-renewable),0,0
Ghana,Non-specified (other),Primary solid biofuels,0,0
